post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID,180byTwo,"180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID dataset provides information regarding: Identity Data,Demographic Data,B2B Marketing Fit Data,B2B Data and more.",Targeted Marketing,"Identity Graph Data USA,180byTwo AccountLink | MAIDs + IPs matched to Company Users in the USA for Mobile Account Based Marketing & ABM Cross Channel,APAC Leads | Reach the Top Professionals Globally incl. Japan, Singapore - 44 Million Professionals,HR Data - Reach HR Decision Makers, HR Professionals With Ease :",4,"Identity Data,Demographic Data,B2B Marketing Fit Data,B2B Data"
"42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history)",42Matters,"42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history) dataset provides information regarding: App Data and more.","Trend Forecasting,Mobile App Development","42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical),42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV),MBI Geodata - Age Bands Data Globally (10 years history),Mobile apps &SDKs- MixRank is the most comprehensive database of mobile apps, developers, SDKs, technologies, services, and integrations. :",4,App Data
"42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical)",42Matters,"42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical) dataset provides information regarding: App Data and more.","Mobile App Development,Trend Forecasting","42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history),42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV),Mobile apps &SDKs- MixRank is the most comprehensive database of mobile apps, developers, SDKs, technologies, services, and integrations.,EDI Historical End-of-Day Pricing Data with global coverage (13 years history) :",5,App Data
"42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV)",42Matters,"42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV) dataset provides information regarding: App Data,Demographic Data,Sports & Entertainment Data and more.",Trend Forecasting,"42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical),42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history),Throtle - Connected TV (CTV) Identity Data,Mediasmart Connected TV viewership data Europe :",4,"App Data,Demographic Data,Sports & Entertainment Data"
"Accern - ESG Insights & Analytics for US Companies (AI powered, web data)",Accern,"Accern - ESG Insights & Analytics for US Companies (AI powered, web data) dataset provides information regarding: Economic Data,Environmental Data,Web Data and more.","Portfolio Management,Supplier Risk","Accern - COVID-19 Insights & Analytics for US companies (AI powered, NLP, web data),ESG Analytics Web Based Platform - ESG data for 193 Countries, 60k companies and 1200 ETFs,Accern - Company Credit Insights & Analytics in all US companies (AI powered, public news & social media),Act Analytics use real-time, trusted news coverage and proven AI to give investors unbiased ESG insights that drive alpha and manage risk :",4,"Economic Data,Environmental Data,Web Data"
"Accern - US Company Financial Filings Insights & Analytics (AI powered, SEC data, 20 years history)",Accern,"Accern - US Company Financial Filings Insights & Analytics (AI powered, SEC data, 20 years history) dataset provides information regarding: Stock & Market Data,Economic Data and more.",Portfolio Management,"Accern - ESG Insights & Analytics for US Companies (AI powered, web data),Echo Analytics - POI Data tied to Mobility Insights in the EU-5,Nikkei Corporate Financial Data Japan - 4,000 listed companies, 50 years history, daily updated,Alqami US Risk Analysis of Corporate Filings - predicting corporate financial results :",5,"Stock & Market Data,Economic Data"
"Dow Jones Newswires - USA news data by Accern (real-time, 30+ metrics, 14 years history)",Accern,"Dow Jones Newswires - USA news data by Accern (real-time, 30+ metrics, 14 years history) dataset provides information regarding: Stock & Market Data,News Data,Environmental Data and more.",,"Reality Research real-time foot traffic data USA w/ 5 years history (REIT data),InfoTrie I-Feed API - real-time financial news updates, tickerized with 15 year history,Accern - US Company Financial Filings Insights & Analytics (AI powered, SEC data, 20 years history),Quant IP Patent and Innovation Metrics for 400k companies, 25+ years history :",4,"Stock & Market Data,News Data,Environmental Data"
"Accern - COVID-19 Insights & Analytics for US companies (AI powered, NLP, web data)",Accern,"Accern - COVID-19 Insights & Analytics for US companies (AI powered, NLP, web data) dataset provides information regarding: Stock & Market Data,News Data,Economic Data and more.",,"Accern - ESG Insights & Analytics for US Companies (AI powered, web data),COVID-19 Dataset,Accern - Company Credit Insights & Analytics in all US companies (AI powered, public news & social media),Echo Analytics - POI Data tied to Mobility Insights in the EU-5 :",3,"Stock & Market Data,News Data,Economic Data"
Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered),Acxiom,"Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered) dataset provides information regarding: Location Data,Demographic Data and more.","Geospatial Effort Prioritization/Store Location Planning,Targeted Marketing","Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),SafeGraph Geometry | US, UK, Canada POI Footprints and Spatial Hierarchy Metadata,Axiom EMI Oil & Gas and Renewables Data (Global): Offshore Energy Geospatial Analytics & Vessel Tracker,DDS Data Grid for Germany and Europe | for cross-border spatial analyses, independent from variations of administrative or postal entities :",5,"Location Data,Demographic Data"
Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),Acxiom,"Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered) dataset provides information regarding: Individual Data,Consumer Survey Data,Marketing Attribution Data and more.",Remarketing Campaigns,"Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered),ChannelIQ,Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records,German Consumers/ B2C in Germany :",3,"Individual Data,Consumer Survey Data,Marketing Attribution Data"
