,post_title,use_case,data_category,related_data_sets,data_provider
0,#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data",,stirista
1,1010Data Enterprise Analytics,,,,1010Data
2,1010Data Market Intelligence,,,,1010Data
3,180byTwo – AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data",,180byTwo
4,180byTwo – Cosmos,,,,180byTwo
5,post_title,use_case,data_category,related_data_sets,data_provider
12,#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,,,,stirista
14,#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data","Datonics Web Browsing Data for USA & Canada (Interest, Intent, Life Stage, Behavioral Audiences)        by Datonics      ,Stirista's Instant Intent Data        by Stirista      ,Behavioral & Demographic Audience Data by Reveal Mobile (Canada)        by Reveal Mobile      ,Location Data from China and Korea at individual level enable one to analyse the consumer behaviour        by A2A      ",stirista
16,180byTwo – AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data","B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,AI Assistant to Find Accounts for your ABM Campaign        by SalesboxAI      ",180byTwo
18,180byTwo – Custom Audiences,,,,180byTwo
19,180byTwo – eCHO,"Account-Based Marketing,","B2B Data,B2B Intent Data,B2B Marketing Fit Data","True Influence B2B Intent Data USA & Canada for Lead Generation - 7000 B2B topics matched to contact intents        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Millions of POI locations for 1700+ companies updated weekly        by Scrapehero      ,Dataset of 21,2 M B2B entities in Brazil (all companies, sole traders, …)        by InfobelPro      ",180byTwo
20,180byTwo – LOCi,,,,180byTwo
21,180byTwo – Technographics,,,,180byTwo
22,180byTwo – Xplorer,"Account-Based Marketing,","Firmographic Data,Company Data,","Lead411 Company Firmographics and Technographics        by Lead411      ,7500 Technographics covering 18 Million Companies        by RampedUp Global Data Solutions      ,Technographic Data Complete Tech Stack | Technographics Data + B2B Data + IT Intelligence by Infotanks Media        by Infotanks Media      ,UK + Italy Company Firmographic & B2B Contact Data - Atoka API        by Atoka      ",180byTwo
23,180ByTwo AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data","B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,AI Assistant to Find Accounts for your ABM Campaign        by SalesboxAI      ",180byTwo
24,180ByTwo eCHO,"Account-Based Marketing,","B2B Data,B2B Intent Data,B2B Marketing Fit Data","True Influence B2B Intent Data USA & Canada for Lead Generation - 7000 B2B topics matched to contact intents        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Millions of POI locations for 1700+ companies updated weekly        by Scrapehero      ,Dataset of 21,2 M B2B entities in Brazil (all companies, sole traders, …)        by InfobelPro      ",180byTwo
25,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID,,,,180byTwo
26,1Forge Forex Quotes API,,,,1Forge
27,280First Financial Service Platform,,,,280First
28,2GIS Database,,,,2GIS
29,2GIS Datasets,,,,2GIS
30,2iQ Solution for Fundamental Investors,,,,2iQ
31,2iQ Solutions for Quantitative Investors,,,,2iQ
32,33Across AttentionX for Advertisers,,,,33across
34,33Across AttentionX for Publishers,,,,33across
36,33Across Data Solutions,,,,33across
37,"42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical)",,,,42Matters
38,"42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV)",,,,42Matters
39,"42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history)",,,,42Matters
40,42Matters API,,,,42Matters
41,42Matters Explorer,,,,42Matters
42,42Matters File Dumps,,,,42Matters
43,4CInsights Audiences and Planning,,,,4C Insights
44,4CInsights Creative & Activation,,,,4C Insights
45,4CInsights Scope,,,,4C Insights
46,4Info Advertising Solutions,,,,4Info
47,4Info Audience Solutions,,,,4Info
48,4Info Measurement Solutions,,,,4Info
49,4Orange Analysis,,,,4Orange
50,4Orange Consultancy,,,,4Orange
51,4Orange Marketing Software,,,,4Orange
52,6Sense Account Engagement Platform,,,,6Sense
53,6Sense Intent Data,,,,6Sense
54,7Park Data Commercial Real Estate,,,,7Park Data
55,7Park Data Financial Services,,,,7Park Data
56,7Park Data Media and Entertainment,,,,7Park Data
57,A Cloud-based Broadcast Transcript and Video Viewer (BTVV),,,,TVEyes
58,Aberdeen Deman Gen,,,,Aberdeen
59,Aberdeen Intent Monitoring,,,,Aberdeen
60,Aberdeen Intent-Targeted Advertising,,,,Aberdeen
