
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data",,stirista
1010Data Enterprise Analytics,,,,1010Data
1010Data Market Intelligence,,,,1010Data
180byTwo – AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data",,180byTwo
180byTwo – Cosmos,,,,180byTwo
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data",,stirista
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data",,stirista
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data",,stirista
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,none found,none found,none found,stirista
post_title,use_case,data_category,related_data_sets,data_provider
#Crosswalk by Stirista: Behavioral Intent Visitors Location Data,",Targeted Marketing","Location Data,,Retail & Commerce Data","Datonics Web Browsing Data for USA & Canada (Interest, Intent, Life Stage, Behavioral Audiences)        by Datonics      ,Stirista's Instant Intent Data        by Stirista      ,Behavioral & Demographic Audience Data by Reveal Mobile (Canada)        by Reveal Mobile      ,Location Data from China and Korea at individual level enable one to analyse the consumer behaviour        by A2A      ",stirista
1010Data Market Intelligence,,,,1010Data
180byTwo – AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data","B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,AI Assistant to Find Accounts for your ABM Campaign        by SalesboxAI      ",180byTwo
180byTwo – Cosmos,,,,180byTwo
180byTwo – Custom Audiences,,,,180byTwo
180byTwo – eCHO,"Account-Based Marketing,","B2B Data,B2B Intent Data,B2B Marketing Fit Data","True Influence B2B Intent Data USA & Canada for Lead Generation - 7000 B2B topics matched to contact intents        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Millions of POI locations for 1700+ companies updated weekly        by Scrapehero      ,Dataset of 21,2 M B2B entities in Brazil (all companies, sole traders, …)        by InfobelPro      ",180byTwo
180byTwo – LOCi,,,,180byTwo
180byTwo – Technographics,,,,180byTwo
180byTwo – Xplorer,"Account-Based Marketing,","Firmographic Data,Company Data,","Lead411 Company Firmographics and Technographics        by Lead411      ,7500 Technographics covering 18 Million Companies        by RampedUp Global Data Solutions      ,Technographic Data Complete Tech Stack | Technographics Data + B2B Data + IT Intelligence by Infotanks Media        by Infotanks Media      ,UK + Italy Company Firmographic & B2B Contact Data - Atoka API        by Atoka      ",180byTwo
180ByTwo AccountLink,"Targeted Marketing,Account-Based Marketing,","Identity Data,Company Data,B2B Marketing Fit Data,B2B Data,Business Registry Data","B2B Intent Data for Account Based Marketing [ABM] (USA) - verified leads: 7000 B2B topics matched to contact level intent        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,AI Assistant to Find Accounts for your ABM Campaign        by SalesboxAI      ",180byTwo
180ByTwo eCHO,"Account-Based Marketing,","B2B Data,B2B Intent Data,B2B Marketing Fit Data","True Influence B2B Intent Data USA & Canada for Lead Generation - 7000 B2B topics matched to contact intents        by True Influence      ,180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID        by 180byTwo      ,Millions of POI locations for 1700+ companies updated weekly        by Scrapehero      ,Dataset of 21,2 M B2B entities in Brazil (all companies, sole traders, …)        by InfobelPro      ",180byTwo
180byTwo Unifi | B2B Onboarding Graph USA - Company Professionals matched to MAID,,,,180byTwo
1Forge Forex Quotes API,,,,1Forge
280First Financial Service Platform,,,,280First
2GIS Database,,,,2GIS
2GIS Datasets,,,,2GIS
2iQ Solution for Fundamental Investors,,,,2iQ
2iQ Solutions for Quantitative Investors,,,,2iQ
33Across AttentionX for Advertisers,,,,33across
33Across AttentionX for Advertisers,,,,33across
33Across AttentionX for Publishers,,,,33across
33Across AttentionX for Publishers,,,,33across
33Across Data Solutions,,,,33across
"42 matters Apple Store Data of All Apps Globally (4million apps, 5 years historical)",,,,42Matters
"42 matters Global Connected TV App Data of 44k apps (Roku, tvOS, FireTV)",,,,42Matters
"42 matters Google Play Store Data of All Android Apps Globally (10 million apps, 5 years history)",,,,42Matters
42Matters API,,,,42Matters
42Matters Explorer,,,,42Matters
42Matters File Dumps,,,,42Matters
4CInsights Audiences and Planning,,,,4C Insights
4CInsights Creative & Activation,,,,4C Insights
4CInsights Scope,,,,4C Insights
4Info Advertising Solutions,,,,4Info
4Info Audience Solutions,,,,4Info
4Info Measurement Solutions,,,,4Info
4Orange Analysis,,,,4Orange
4Orange Consultancy,,,,4Orange
4Orange Marketing Software,,,,4Orange
6Sense Account Engagement Platform,,,,6Sense
6Sense Intent Data,,,,6Sense
7Park Data Commercial Real Estate,,,,7Park Data
7Park Data Financial Services,,,,7Park Data
7Park Data Media and Entertainment,none found,none found,none found,7Park Data
A Cloud-based Broadcast Transcript and Video Viewer (BTVV),,,,TVEyes
Aberdeen Deman Gen,,,,Aberdeen
Aberdeen Intent Monitoring,none found,none found,none found,Aberdeen
Aberdeen Intent-Targeted Advertising,,,,Aberdeen
Abios Esports API,,,,Abios
Abios Widgets,,,,Abios
"Accern - ESG Insights & Analytics for US Companies (AI powered, web data)",",Portfolio Management,Supplier Risk","Economic Data,Environmental Data,Web Data","Accern - COVID-19 Insights & Analytics for US companies (AI powered, NLP, web data)        by Accern      ,ESG Analytics Web Based Platform - ESG data for 193 Countries, 60k companies and 1200 ETFs         by ESG Analytics      ,Accern - Company Credit Insights & Analytics in all US companies (AI powered, public news & social media)        by Accern      ,Act Analytics use real-time, trusted news coverage and proven AI to give investors unbiased ESG insights that drive alpha and manage risk        by Act Analytics      ",Accern
"Accern - US Company Financial Filings Insights & Analytics (AI powered, SEC data, 20 years history)","Portfolio Management,","Stock & Market Data,,Economic Data","Accern - ESG Insights & Analytics for US Companies (AI powered, web data)         by Accern      ,Echo Analytics - POI Data tied to Mobility Insights in the EU-5        by Echo Analytics      ,Nikkei Corporate Financial Data Japan -  4,000 listed companies, 50 years history, daily updated        by Nikkei Market Data      ,Alqami US Risk Analysis of Corporate Filings - predicting corporate financial results         by Alqami      ",Accern
Accern Data Store,,,,Accern
Accern Deployments,,,,Accern
Accutrend Data Canadian Business Data,,,,Accutrend Data
Accutrend Data Mexican Business Data,none found,none found,none found,Accutrend Data
Accutrend Data New Business Data,,,,Accutrend Data
AccuWeather Current Conditions API,,,,AccuWeather
AccuWeather Forecast API,,,,AccuWeather
AccuWeather Location API,,,,AccuWeather
ACLED Curated Data,none found,none found,none found,ACLED
ACLED Export Tools,none found,none found,none found,ACLED
Aclima Insights for Community.,none found,none found,none found,Aclima
Aclima Pro,none found,none found,none found,Aclima
AcquireLists B2B Email Data Lists,none found,none found,none found,AcquireLists
AcquireLists Target Business Lists,none found,none found,none found,AcquireLists
AcquireWeb AcquireInsight,none found,none found,none found,AcquireWeb
AcquireWeb AcquireOmni,none found,none found,none found,AcquireWeb
ACRe Data ESG Scoring Methodology,none found,none found,none found,ACRe Data
ACTIVFeed,none found,none found,none found,ACTIV
ACTIVFeed Direct,none found,none found,none found,ACTIV
ACTIVWorkstation,none found,none found,none found,ACTIV
AcuityAds Illumin,none found,none found,none found,AcuityAds
AcuityAds Live Audiences,none found,none found,none found,AcuityAds
Acuris Attention Advertising,none found,none found,none found,Acuris
Acuris Infrastructure,none found,none found,none found,Acuris
Acuris Transactions,none found,none found,none found,Acuris
Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),,"Individual Data,Consumer Survey Data","Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered)        by Acxiom      ,ChannelIQ by AnalyticsIQ - Consumer Marketing Data USA - 241M Individuals        by AnalyticsIQ      ,Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records        by Blue Mail Media      ,German Consumers/ B2C in Germany        by Techsalerator      ",Acxiom
Acxiom Analytics Platform Solutions,none found,none found,none found,Acxiom
"Acxiom Audience Activation 1st Party Data - CRM Data Onboarding (USA, UK & Germany Covered)",",Remarketing Campaigns",",Retail & Commerce Data","Acxiom Activation Lookalikes - CRM Data (USA, Germany, UK, India & Brazil Covered)        by Acxiom      ,Fifty: 1st Party Audience Data for CRM Enrichment (Asia, Europe, North America)        by Fifty      ,NetWise Audience Platform self-serve access to quality activation-ready, multi-channel B2B data        by NetWise      ,Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ",Acxiom
Acxiom Audience Data Enhancement - Validate & Enhance Customer Data (Germany Covered),,"Demographic Data,Individual Data","Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ,B2B Contact Data Cleansing and Enhancement        by Outwardmedia      ,Public Sector Customer Analysis and Potential (CAP) Report UK by Oscar Research | data intelligence & enhancement service         by Oscar Research      ,Data Appending/ Data Cleansing/ Data Enhancement/ List Building Services        by B2B Lists      ",Acxiom
Acxiom B2B INFOBASE(r) - B2B & Company Database (Germany Covered),,"B2B Data,B2B Intent Data","Acxiom INFOBASE® - Consumer Data - Individual Level Database (Germany, UK & India Covered)        by Acxiom      ,B2B Live Global Company Database        by 1 Stop Data      ,Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered)        by Acxiom      , B2B Contact Database of Enterprise Companies in Germany, Austria, Switzerland - Address-Base        by Address-Base      ",Acxiom
