,Name of the dataset,similar
0,BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Low Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Long-Term Future (2025) Landscape Condition Status in Current Distribution of Low Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Dwarf Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Tall Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Herbaceous Wetlands in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Deciduous Forest in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
1,BLM Grazing Allotment Polygons,"BLM UT Grazing Allotment Polygons
BLM NV Grazing Allotment Polygons
BLM CA Grazing Allotment Polygons
BLM OR ROD PSDV Grazing Allotments Polygon
BLM OR ROD SWO Grazing Allotments Polygon"
2,BLM Grazing Allotment Polygons,"BLM UT Grazing Allotment Polygons
BLM NV Grazing Allotment Polygons
BLM CA Grazing Allotment Polygons
BLM OR ROD PSDV Grazing Allotments Polygon
BLM OR ROD SWO Grazing Allotments Polygon"
3,BLM REA YKL 2011 CL L AlaskaSnowDayFraction December A2,"BLM REA YKL 2011 CL C AlaskaSnowDayFraction December A2
BLM REA YKL 2011 CL N AlaskaSnowDayFraction December A2
BLM REA YKL 2011 CL L AlaskaSnowDayFraction2050s December A2
BLM REA YKL 2011 CL L AlaskaSnowDayFraction November A2
BLM REA YKL 2011 CL N AlaskaSnowDayFraction November A2"
4,BLM REA YKL 2011 CL C AlaskaSummerTotalPPT A2,"BLM REA YKL 2011 CL L AlaskaSummerTotalPPT A2
BLM REA YKL 2011 CL C AlaskaWinterTotalPPT A2
BLM REA YKL 2011 CL N AlaskaSummerTotalPPT A2
BLM REA YKL 2011 CL L AlaskaWinterTotalPPT A2
BLM REA YKL 2011 CL N AlaskaWinterTotalPPT A2"
5,"BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Chuathbaluk, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Anvik, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Aniak, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Iliamna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Nulato, Alaska."
6,BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Low Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Long-Term Future (2025) Landscape Condition Status in Current Distribution of Low Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Dwarf Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Tall Shrub in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Herbaceous Wetlands in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Deciduous Forest in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
7,BLM Grazing Allotment Polygons,"BLM UT Grazing Allotment Polygons
BLM NV Grazing Allotment Polygons
BLM CA Grazing Allotment Polygons
BLM OR ROD PSDV Grazing Allotments Polygon
BLM OR ROD SWO Grazing Allotments Polygon"
8,BLM Grazing Allotment Polygons,"BLM UT Grazing Allotment Polygons
BLM NV Grazing Allotment Polygons
BLM CA Grazing Allotment Polygons
BLM OR ROD PSDV Grazing Allotments Polygon
BLM OR ROD SWO Grazing Allotments Polygon"
9,BLM REA YKL 2011 CL L AlaskaSnowDayFraction December A2,"BLM REA YKL 2011 CL C AlaskaSnowDayFraction December A2
BLM REA YKL 2011 CL N AlaskaSnowDayFraction December A2
BLM REA YKL 2011 CL L AlaskaSnowDayFraction2050s December A2
BLM REA YKL 2011 CL L AlaskaSnowDayFraction November A2
BLM REA YKL 2011 CL N AlaskaSnowDayFraction November A2"
