,Name of the dataset,similar
0,"Volcanic Gas Measurements at Mount Cleveland, Alaska 2016","Gas and heat emission measurements in Norris Geyser Basin, Yellowstone National Park (May-October 2016)
Multichannel sparker seismic-reflection data between Cross Sound and Dixon Entrance, offshore southeastern Alaska, collected from 2016-05-17 to 2016-06-12 during field activity 2016-625-FA
Airborne imaging spectrometer data collected for characterizing mineral resources near Nabesna, Alaska, 2014: Run04
Magnetotelluric data from the Northwest Geysers, 2017, station gz31
Magnetotelluric data from the Northwest Geysers, 2017, station gz21"
1,Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P2 from 2004,"Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P8 from 2003
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P11 from 2003
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T7 from 2005
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P3 from 2001
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetlands P1, T1, and T3 from 2002"
2,Wind rose plots for the volcano: 345034 Platanar,"Wind rose plots for the volcano: 345031 Tenorio
Wind rose plots for the volcano: 345020 Rincon de la Vieja
Wind rose plots for the volcano: 344133 Lajas, Las
Wind rose plots for the volcano: 342060 Atitlan
Wind rose plots for the volcano: 358049 Yanteles"
3,"Raw HYPACK navigation logs (text) collected by the U.S. Geological Survey in Vineyard Sound, MA, January 5, 2011 (2010-100-FA_hypack)","Survey lines along which seismic reflection data were collected in 2012 by the U.S. Geological Survey in the Connecticut River during field activity 2012-024-FA (Polyline Shapefile)
Chirp seismic-reflection profile data in JPEG image format Collected in the Indian River Bay, Delaware, on April 13, 2010, on U.S. Geological Survey Field Activity 2010-006-FA
Point shapefile of processed continuous resistivity profiling data below the sediment water interface collected in the Indian River Bay, Delaware, on April 13, 2010, on U.S. Geological Survey Field Activity 2010-006-FA (MRGAPR13_ALLXYZRES.SHP, Geographic, WGS 84)
Station and data summary for data collected on Stellwagen Bank during U.S. Geological Survey field activity 2014-066-FA, aboard the R/V Auk, November 10, 2014
SEG-Y formatted chirp seismic-reflection profile data collected in the Indian River Bay, Delaware, on April 13, 2010, on U.S. Geological Survey Field Activity 2010-006-FA"
4,"Raw Continuous Resistivity Profile Collected in the Neuse River, April 19, 2004","RES2DINV Format Continuous Resistivity Profile Collected in the Neuse River, April 19, 2004
Processed Continuous Resistivity Profiles Collected in the Neuse River, April 21, 2004
Processed Continuous Resistivity Profiles Collected in the Neuse River, May 4, 2005
RES2DINV Format Continuous Resistivity Profiles Collected in the Neuse River, May3, 2005
Processed Continuous Resistivity Point Data from Cape Cod National Seashore, May 17-20, 2004"
5,Airborne geophysical survey: Glacier Bay West Coast,"Airborne geophysical survey: Rogers Pass, Montana
Airborne geophysical survey: Northern Great Valley - Mt. Vaca, California
Airborne geophysical survey: Gray's Harbor, Washington
Airborne geophysical survey: Seward Peninsula
Airborne geophysical survey: Northern Alaska"
6,"Landslides in Entre RAos quadrangle, Guatemala","Landslides in Castillo San Felipe quadrangle, Guatemala
Older landslides in CobA!n quadrangle, Guatemala
Younger landslides in RAo Hondo quadrangle, Guatemala
Landslides triggered by Hurricane Mitch in Nicaragua
1:1,000,000-scale areas of evapotranspiration in the Great Basin"
7,"Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv14","Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv16
Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv03
Magnetotelluric data from the Northwest Geysers, 2017, station gz19
Magnetotelluric data from the Northwest Geysers, 2017, station gz21
Magnetotelluric data from the Northwest Geysers, 2017, station gz31"
8,LANDFIRE.AK_130CH,"LANDFIRE.AK_130CFFDRS
LANDFIRE.AK_130EVT
LANDFIRE.AK_110BPS
LANDFIRE.AK_140CH
LANDFIRE.HI_130VTM"
9,Wind rose plots for the volcano: 360040 Nevis Peak,"Wind rose plots for the volcano: 360080 Diables, Morne aux
Wind rose plots for the volcano: 342060 Atitlan
Wind rose plots for the volcano: 358049 Yanteles
Wind rose plots for the volcano: 358070 Burney, Monte
Wind rose plots for the volcano: 275040 Haut Dong Nai"
10,JPEG Images of Seismic-Reflection Profiles Collected in Lake Mead in 1999,"JPEG Images of seismic-reflection profiles collected in Lake Mohave in 2002
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T5 from 14 July 1999
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T9 from 16 July 1998
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P3 from 14 July 1999
Seismic Reflection, Boomer profile images collected in the vicinity of Buffalo Reef, Michigan, within Lake Superior,during USGS field activity 2018-043-FA, (PNG Images)"
11,"Grid File of Historical Bathymetric Soundings for Grand Bay, Mississippi, and Surrounding Areas Derived from National Ocean Service (NOS) Hydrographic Sheets","Bathymetric Grid for a Wave Exposure Model of Grand Bay, Mississippi
Bathymetric Digital Elevation Model (DEM) of the 2016 nearshore coastal bathymetry from West Ship Island to Horn Island, Gulf Islands National Seashore, Mississippi.
Sound Velocity Profiles, Odim MVP 30 sound velocity profile data, USGS field activity 2017-003-FA, Mississippi River Delta front offshore of southeastern Louisiana (PNG images, ASVP text, and Esri point shapefile, GCS WGS 84).
Shorelines of the Mississippi coastal region used in shoreline change analysis
Bathymetric survey data of the Black River from Poplar Bluff, Missouri, to Pocahontas, Arkansas"
12,"DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Points for top of the LISAPCU","DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Contours for the top of the Bucatunna clay confining unit
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Contours for the base of the Floridan aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Updip extent line of the Floridan aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina, Contours for the top of the upper Avon Park dolostone unit
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Extent of the FPZ region of the Oldsmar permeable zone"
13,"DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Updip extent line of the Floridan aquifer system","DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Contours for the base of the Floridan aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Extent of the FPZ region of the Oldsmar permeable zone
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Extent of the Biscayne aquifer of the surficial aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Point features for the thickness of the Floridan aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Clipping boundary extent for the Bucatunna clay confining unit"
14,Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T5 from 1986,"Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P4 from 1985
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P4 from 1988
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T2 from 1988
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T6 from 1978
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T8 from 1978"
15,Data on gall wasp abundance and biomass on valley oak and blue oak trees in California,"Geospatial data for object-based high-resolution classification of conifers within the geographic range of the Bi-State Distinct Population Segment of greater sage-grouse in California and Nevada
Spatially Explicit Modeling of Annual and Seasonal Habitat for Greater Sage-Grouse (Centrocercus urophasianus) in Northeastern California
RestoreNet: seedling treatment and site environmental characteristics data at restoration treatment plots in northern Arizona, USA
Croton setiger predators, herbivores, and damage collected in California 2013-2014
Cleome lutea and Machaeranthera canescens seed transfer zones and distribution on the Colorado Plateau, US"
16,SAR 2016 Microhabitat Use Data,"SAR 2017 Microhabitat Use Data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0065 land-water classification data
Waihou Insect Barcode Library 2016 to 2017
Coastwide Reference Monitoring System (CRMS) 2016 Site 3296 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0035 land-water classification data"
17,LANDFIRE.AK_120CBD,"LANDFIRE.AK_120PLS
LANDFIRE.AK_120VTM
LANDFIRE.HI_120CC
LANDFIRE.AK_130EVT
LANDFIRE.US_120FBFM13"
18,"2014 profile-derived mean high water shorelines of the south shore of Cape Cod, MA used in shoreline change analysis","Digital Shoreline Analysis System version 4.3 shoreline intersection points used to calculate long-term shoreline change statistics for the South Cape Cod coastal region from Stage Harbor Light in Chatham to Nobska Point in Woods Hole (SouthCapeCod_intersects_LTw.shp)
Data and Shapefiles for the Potentiometric Surface of the South Coast Aquifer and Hydrologic Conditions in the Santa Isabel area, Puerto Rico, March-April 2014
Onshore/offshore baseline for the Outer Cape Cod coastal region generated to calculate shoreline change rates from Long Point in Provincetown to Monomoy Island (OuterCapeCod_baseline.shp)
Offshore baseline for the South Carolina (SC) coastal region generated to calculate shoreline change rates
Digital Shoreline Analysis System version 4.3 transects and long-term linear regression shoreline change statistics for all data available within the South Shore coastal region from Hewitts Cove in Hingham to the Cape Cod Canal in Sandwich (SouthShore_transects_rates_LTw.shp)"
19,Coastwide Reference Monitoring System (CRMS) 2016 Site 3639 land-water classification data,"Coastwide Reference Monitoring System (CRMS) 2016 Site 3913 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 3601 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 4014 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0035 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0294 land-water classification data"
20,"Ground conductivity measurements at selected National Wildlife Refuges: Northeast, Montana, 2017","Ground conductivity measurements at selected National Wildlife Refuges: Jerde, Montana, 2017
Airborne geophysical survey: Yellowstone Regional, Wyoming and Montana
Land use and disturbance history for Little Bighorn Battlefield National Monument, Montana through March 2018
Data Used to Compare Photo-Interpreted and IfSAR-Derived Maps of Polar Bear Denning Habitat for the 1002 Area of the Arctic National Wildlife Refuge, Alaska, 2006-2016
Gas and heat emission measurements in Norris Geyser Basin, Yellowstone National Park (May-October 2016)"
21,Thickness of the combined Lower Hell Creek and Fox Hills aquifers in the Powder River structural basin,"Extent of the Fox Hills aquifer in the Powder River and Williston structural basins
Thickness of the Upper Hell Creek hydrogeologic unit in the Williston structural basin
Saturated thickness of the Minnelusa aquifer, Black Hills, South Dakota.
Iron concentration rasters of groundwater in the Mississippi River Valley alluvial and Claiborne aquifers
This geospatial data set consists of the bedrock formations of the High Plains aquifer, which underlies parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming."
22,Digital Line Graph - Large Scale -,"Range_Extent_15
Estimation Site 03111215, Spreadsheets and Metadata
Cottonwood Lake Study Area - Digital Elevation Model with Topobathy
Cumulative Production Per Township - SaMiRa
z107sc_video_observations"
23,Offshore baseline for the northern Alaska coastal region generated to calculate shoreline change rates along exposed coastlines between Point Barrow and Icy Cape for the time period 1947 to 2012,"Offshore baseline for the northern Alaska coastal region generated to calculate shoreline change rates along exposed coastlines between the Colville River Delta and Point Barrow for the time period 1947 to 2005
Offshore baseline for the northern Alaska coastal region generated to calculate shoreline change rates along sheltered coastlines between the Okpilak-Hulahula River Delta and the Colville River Delta for the time period 1947 to 2007
Oceanographic Profile Data from Glacier Fjords of Alaska, 2004-2011
Multichannel sparker seismic-reflection data between Cross Sound and Dixon Entrance, offshore southeastern Alaska, collected from 2016-05-17 to 2016-06-12 during field activity 2016-625-FA
Digital Shoreline Analysis System (DSAS) version 4.3 Transects with Short-Term Linear Regression Rate Calculations for the Exposed West Beaufort Sea coast of Alaska between the Colville River and Point Barrow"
24,"Boundary of the Eagle River Watershed Valley-Fill Aquifer, Eagle County, North-Central Colorado, 2006-2007","U-Pb zircon data for: The Poncha Pass and Deadman Creek areas, northern Sangre de Cristo Mountains of south-central Colorado
Magnetotelluric sounding data, station 29, San Luis Valley, Colorado, 2007
Geologic map of the Dillon 7 1/2 minute quadrangle, Summit and Grand Counties, Colorado
Magnetotelluric data, Southern San Luis Valley, Colorado, 2006: Station 14
Danforth Hills coal lease areas, Colorado Plateau (danleasg.shp)"
25,"Structure-from-Motion orthophotos from the Florida Keys, 2019","Structure-from-Motion point clouds from Miami Park surveys, MI, 2019
LEAN-Corrected Chesapeake Bay Digital Elevation Models, 2019
Airborne magnetic flight line data, Charleston, South Carolina and surrounds, 2019
Images from Hurricane Hole, Virgin Islands Coral Reef National Monument, 2017 to 2019
Integrated step selection analysis of turtle tracking data in the Florida Keys National Marine Sanctuary, 2008-2019"
26,"The Colorado Plateau coal assessment study area, 2000 (cpstdyg)","Deserado Logical Mining Unit from 2000 Colorado Plateau Coal Assessment (deslmug)
Raton Coal Basin boundary, 1999 Coal Resource Assessment
Danforth Hills coal lease areas, Colorado Plateau (danleasg.shp)
Final unioned polygon coverage used in coal resource calculations, San Juan Basin, CO and NM (sjbfing)
Yampa coal field combined leased areas and mined-out areas, Colorado Plateau (yam*leasg)"
27,Geospatial Tools Effectively Estimate Nonexceedance Probabilities of Daily Streamflow at Ungauged and Intermittently Gauged Locations in Ohio: Data Release,"Horizontal-to-Vertical Spectral Ratio Soundings and Depth-to-Bedrock Data for Geohydrology and Water Quality Investigation of the Unconsolidated Aquifers in the Enfield Creek Valley, Town of Enfield, Tompkins County, New York, April 2013 - August 2015
Pesticides in Weekly Water Samples from the NAWQA Midwest Stream Quality Assessment (2013)
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: NLCD 2006 Percent Imperviousness in 100 Meter Riparian Buffer
Time Series of Dye Concentrations at Fixed Stations During a Tracer Study on the Lower Sandusky River, Ohio, July 11-12, 2017
Conservation Planning for the Colorado River in Utah - Bottomland Boundary of the Colorado River Divided at 1-km intervals"
28,Wind rose plots for the volcano: 358049 Yanteles,"Wind rose plots for the volcano: 358070 Burney, Monte
Wind rose plots for the volcano: 355096 Acamarachi
Wind rose plots for the volcano: 371803 Geysir
Wind rose plots for the volcano: 354004 Andahua-Orcopampa
Wind rose plots for the volcano: 342060 Atitlan"
