,id,Title,data_categories
0,0,List of companies licensed to produce beer,"Demographic Data,B2B Data,Cross-Device Identity Data"
1,1,List of companies licensed to produce alcoholic products,"Demographic Data,Traffic and Routing Data,B2B Data,Customer Transaction Data,Cross-Device Identity Data"
2,2,List of companies holding licenses for the production of alcoholic products,"Demographic Data,Cross-Device Identity Data"
3,3,Other classifications of JAR attributes,Cross-Device Identity Data
4,4,Open design data of the Republic of Lithuania,Cross-Device Identity Data
5,5,"Legal entities, more than 60 d. late submission of financial statements for the previous financial year","Demographic Data,Traffic and Routing Data,Cross-Device Identity Data"
6,6,Financial statement documents submitted by legal entities - profit (loss) statements,"Traffic and Routing Data,Cross-Device Identity Data"
7,7,Data on participants in legal entities by country of legal entity participants and legal form,"B2B Data,Cross-Device Identity Data"
8,8,Data on participants of legal entities on foreign natural and legal persons,"B2B Data,Cross-Device Identity Data"
9,9,Data of participants in legal entities from JADIS,"B2B Data,Cross-Device Identity Data"
10,10,Data on lists of participants in legal entities,"B2B Data,Cross-Device Identity Data"
11,11,Data of participants of legal entities according to the legal form of the legal entity,"Demographic Data,Cross-Device Identity Data"
12,12,Data of state and / or municipal legal entities,"B2B Data,Cross-Device Identity Data"
13,13,JAR fact type and subtype classifiers,"B2B Data,Cross-Device Identity Data"
14,14,Classifications of JAR legal forms and statuses,"Demographic Data,Cross-Device Identity Data"
15,15,JAR non-legal entity classification,"B2B Data,Cross-Device Identity Data"
16,16,JAR registered non-governmental organizations (under the heading &quot;NON-GOVERNMENTAL ORGANIZATIONS&quot;),Cross-Device Identity Data
17,17,Non-governmental organizations deregistered in the JAR (under the heading &quot;Non-governmental organizations&quot;),Cross-Device Identity Data
18,18,Beneficiaries deregistered in the JAR (according to the deregistered status &quot;BENEFICIARIES&quot;),"Demographic Data,Cross-Device Identity Data"
19,19,JAR registered beneficiaries (according to the registered status &quot;BENEFICIARIES&quot;,"Traffic and Routing Data,Cross-Device Identity Data"
20,20,Legal entities are registered in the Register of Legal Entities of the Republic of Lithuania,"Demographic Data,Cross-Device Identity Data"
21,21,Legal entities have been deregistered from the Register of Legal Entities,Cross-Device Identity Data
22,22,Data on registered offices (addresses) of legal persons registered in the Register of Legal Entities (RAW date),"Demographic Data,Cross-Device Identity Data"
23,23,Documents of legal entities registered in the Register of Legal Entities submitted to the Registrar (RAW date),"Demographic Data,Traffic and Routing Data,Cross-Device Identity Data"
24,24,Authorized capital data of legal entities,"B2B Data,Cross-Device Identity Data"
25,25,"Management bodies of legal entities registered in the Register of Legal Entities, their forms (RAW date)","Demographic Data,Traffic and Routing Data,Cross-Device Identity Data"
26,26,Creation and / or development of traditional craft centers. general information,Cross-Device Identity Data
27,27,List of qualified trust service providers established in the Republic of Lithuania and qualified trust services provided by them,"Demographic Data,Cross-Device Identity Data"
28,28,Food information system,"Demographic Data,Tourism Data"
29,29,List of real estate,"B2B Data,Cross-Device Identity Data"
30,30,LIST OF MUNICIPAL REAL ESTATE AND OTHER IMMOVABLE PROPERTY FOR SALE AT A PUBLIC AUCTION,Cross-Device Identity Data
31,31,LIST OF NON-RESIDENTIAL PREMISES FOR RENT BY THE MUNICIPAL ADMINISTRATION,"B2B Data,Cross-Device Identity Data"
32,32,Wholesale and retail trade of alcoholic and tobacco products of economic entities Annual planned inspection plans,Cross-Device Identity Data
33,33,Domestic sales of some dairy products produced in Lithuanian dairy processing companies,"Demographic Data,Traffic and Routing Data,Cross-Device Identity Data"
34,34,Open data of trademarks of the Republic of Lithuania,"Demographic Data,Cross-Device Identity Data"
35,35,List of religious communities and associations,"B2B Data,Cross-Device Identity Data"
36,36,Bibliographic database of Lithuanian standards and other standardisation deliverables,Cross-Device Identity Data
37,37,Standard terms database,"Tourism Data,B2B Data,Cross-Device Identity Data"
38,38,List of valuers and valuation companies,"Demographic Data,Cross-Device Identity Data"
39,39,Distribution of sheep and goat keepers yyyy-mm-dd,"Demographic Data,Cross-Device Identity Data"
40,40,Data set for inaccuracies in abandoned agricultural land data,Cross-Device Identity Data
41,41,Sowing data of areas sprayed with plant protection products and plant seeds treated with plant protection products,"Demographic Data,B2B Data,Cross-Device Identity Data"
42,42,Distribution of heifers and cows of meat and crossbred breeds by age groups yyyy-mm-dd,"Demographic Data,Cross-Device Identity Data"
43,43,Distribution of cattle by municipalities yyyy-mm-dd (z. B. And other enterprises),"Demographic Data,Cross-Device Identity Data"
44,44,"Number of keepers, herds and storage places yyyy-mm-dd","B2B Data,Cross-Device Identity Data"
45,45,Distribution of farms according to the number of dairy cows in Lithuania yyyy-mm-dd,"Demographic Data,Traffic and Routing Data,Cross-Device Identity Data"
46,46,Number of herds and livestock registered yyyy-mm-dd,"B2B Data,Cross-Device Identity Data"
