data_provider,use_case,logo,data_category
37AUSTEN,"Hedge Fund Management,Predictive Maintenance",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/37austen_a51d772147803423.png,"Trade Data,Stock & Market Data,Economic Data,Legal and IP Data"
40Geo,Smart Ship,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/40geo_618bcfa7f4f87b4f.png,Satellite Data
505 Economics,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/505-economics_ce57c072ff61b3d5.png,"Environmental Data,Economic Data"
90 West Data,"Portfolio Management,Persona Detection/Segmentation,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/90-west-data_56bff769e1caa378.png,"Tourism Data,Consumer Lifestyle Data,Individual Data,Economic Data,Retail & Commerce Data,Hospitality Industry Data,Energy Data"
A2A,"Mobile App Development,Behavioral Targeting,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/a2a_6431b75e889a4c84.png,GPS Data
Above Data,"Trend Forecasting,Portfolio Management,Hedge Fund Management,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/above-data_8ac9c4e8dc4923e2.jpeg,"Economic Data,,TV Streaming Rating Data,Individual Data,App Data,Environmental Data,Employment Data,B2B Data,B2B Intent Data,Social Data,Automotive Industry Data,Company Data,Retail & Commerce Data,Commodity Market Data,Sports & Entertainment Data"
Accutrend,"Portfolio Management,Account-Based Marketing,B2B Credit Risk,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/accutrend-data.jpg,",B2B Marketing Fit Data,B2B Data,Business Registry Data,Economic Data,Business Credit Rating Data,Commodity Market Data,Firmographic Data"
ACLED Data,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/acled_b21f195fe1a1462c.png,"News Data,Sports & Entertainment Events Data,Political Data"
Act Analytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/act-analytics_7ed576832efc8fb4.png,"Environmental Data,Economic Data"
Address-Base,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/address-base_fcec70caff5c9308.png,B2B Data
ADDS Corporation,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/adds-corporation_7d883e51d86b23f8.png,"B2B Marketing Fit Data,B2B Intent Data,B2B Data"
AdZapier,"Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/adzapier_363e4d7325931b56.jpg,"Individual Data,,Identity Data,Consumer Lifestyle Data,Web Data,Online/Mobile Data,Website Traffic Data,IP Data"
Agents Republic,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/agents-republic_caba02f8065721de.png,
