,Demographic Data,Census and Population Data,Economic Data,Construction Industry Data,Employment Data,B2B Intent Data,Company Data,Stock & Market Data,Environmental Data,Tourism Data,Traffic and Routing Data,Education Industry Data,Firmographic Data,Real Estate Data,Trade Data,Web Data,Energy Data,Geospatial Data,Agriculture Data,Healthcare Data,Business Credit Rating Data,Marketing Attribution Data,Individual Data,Business Registry Data,B2B Data,Online/Mobile Data,SEO & Web Advertising Data,Location Data,Retail & Commerce Data,Climate and Weather Data,Legal Case Data,Legal and IP Data,Consumer Lifestyle Data,Customer Transaction Data,Industry-Specific Data,B2B Marketing Fit Data,Cross-Device Identity Data,Automotive Industry Data,Credit Data,Points of Interest Data,Social Data,data_categories,Title
0,,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Economic Data'],PipeCandy eCommerce Leads & Insights for Fulfillment
1,Demographic Data,Census and Population Data,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data', 'Economic Data']",Eyeota Audience Marketplace
2,,,,,,,,Stock & Market Data,,,,,,,,,,Geospatial Data,,,,,,,,,,,,,,,,Customer Transaction Data,,,,Automotive Industry Data,,,,"['Stock & Market Data', 'Geospatial Data', 'Customer Transaction Data', 'Automotive Industry Data']",Adsquare Audience Targeting
3,,,,,,,,Stock & Market Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stock & Market Data'],Adsquare Post-Campaign Footfall Measurement
4,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data']",AmeriBase E-Dentify - Digital
5,,Census and Population Data,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Census and Population Data', 'Economic Data']",Arabesque AI
6,Demographic Data,,,,Employment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Employment Data']",Audiens Data Exchange
7,Demographic Data,,Economic Data,,Employment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Economic Data', 'Employment Data']",CACI Intelligence Systems Support
8,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],CACI Space Operations and Resiliency
9,,,,,,B2B Intent Data,,,,Tourism Data,,,,,,,,,,Healthcare Data,,,,,B2B Data,,,,Retail & Commerce Data,,,,,,Industry-Specific Data,,,Automotive Industry Data,,,,"['B2B Intent Data', 'Tourism Data', 'Healthcare Data', 'B2B Data', 'Retail & Commerce Data', 'Industry-Specific Data', 'Automotive Industry Data']",CoreLogic Property Data
10,Demographic Data,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Economic Data']",CoreLogic ValueMap
11,Demographic Data,Census and Population Data,Economic Data,,Employment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data', 'Economic Data', 'Employment Data']",CoreLogic HPI
12,,,,,,,Company Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Company Data'],CreditSafe Trade Payment Data Programme
13,,,,,,,,,,,,,,,,,,Geospatial Data,,,,,,,,,,,,Climate and Weather Data,,,,,,,,,,Points of Interest Data,,"['Geospatial Data', 'Climate and Weather Data', 'Points of Interest Data']",CreditSafe Business Marketing Data
14,,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Economic Data'],Datastream Opt-In Data
15,,,,,,,,,,,,,,,,,,Geospatial Data,,,,,,,,,,,,Climate and Weather Data,,,,,,,,,,,,"['Geospatial Data', 'Climate and Weather Data']",Datastream Mobile Data
16,Demographic Data,,,,,,,,,,,Education Industry Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Education Industry Data']",DataXpand Audience Marketplace
17,,,,,,,,,Environmental Data,,,,,,,,Energy Data,,,,,,,,,,,,,,,,,,,,,,,,,"['Environmental Data', 'Energy Data']",PipeCandy eCommerce Leads & Insights for Tech Companies
18,,,,,,,,,,Tourism Data,Traffic and Routing Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Tourism Data', 'Traffic and Routing Data']","PipeCandy eCommerce Leads & Insights for Banks, Lenders & Insurers"
19,Demographic Data,,,,,B2B Intent Data,,,,,,,,,,,,,,,,,,,,Online/Mobile Data,SEO & Web Advertising Data,,,,,,,,,,,,,,,"['Demographic Data', 'B2B Intent Data', 'Online/Mobile Data', 'SEO & Web Advertising Data']",PipeCandy Alternative Data for Hedge Funds
20,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data']",PipeCandy Product Trends for Retailers
21,,,,Construction Industry Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Construction Industry Data'],Edge by Ascential Market Share
22,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],Edge by Ascential Digital Shelf
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],Emailage Digital Identity Score
24,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data']",Exante Stocks and ETFs Market Data
25,,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Economic Data'],Exante Futures Data
26,Demographic Data,,Economic Data,,Employment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Economic Data', 'Employment Data']",Exante Funds Data
27,Demographic Data,Census and Population Data,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data', 'Economic Data']",Eyeota Onboarding Data
28,,,Economic Data,,,,,,,,,,,,Trade Data,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Economic Data', 'Trade Data']",Audience powered by Factual
29,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Case Data,Legal and IP Data,,,,,,,,,,"['Demographic Data', 'Census and Population Data', 'Legal Case Data', 'Legal and IP Data']",Loqate Geo+
30,,,,,,,,Stock & Market Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stock & Market Data'],Kantar Media Audience Measurement
31,,,,Construction Industry Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Construction Industry Data'],Kantar Media TGI Consumer Data
32,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],Kantar Media Social Engagement
33,,,,,,,,,Environmental Data,,,,,,,,Energy Data,,,,,,,,,,,,,,,,,,,,,,,,,"['Environmental Data', 'Energy Data']",Kantar Media Content Distribution
34,,Census and Population Data,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Census and Population Data', 'Economic Data']",Krill Technologies B2B Email Marketing Cluster
35,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],Lotame Cartographer
36,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],Lotame Data Stream
37,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data']",Lotame Custom Data Solutions
38,Demographic Data,,,,,B2B Intent Data,,,,,,,,,,,,,,,,Marketing Attribution Data,,,,Online/Mobile Data,,,,,,,,Customer Transaction Data,,,Cross-Device Identity Data,,,,,"['Demographic Data', 'B2B Intent Data', 'Marketing Attribution Data', 'Online/Mobile Data', 'Customer Transaction Data', 'Cross-Device Identity Data']",Lotame Private Data Exchange
39,,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Economic Data'],Mobilewalla Data Enrichment Services
40,Demographic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Demographic Data'],Mobilewalla Consumer Profiles
41,,,,Construction Industry Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Construction Industry Data'],Mobilewalla Audience Segments
42,,,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Economic Data'],US Data Corporation Business Lists
43,Demographic Data,Census and Population Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data']",US Data Corporation Email Lists
44,Demographic Data,Census and Population Data,Economic Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Demographic Data', 'Census and Population Data', 'Economic Data']",US Data Corporation Mailing Lists
